space_id,filename,width,height,class,xmin,ymin,xmax,ymax
1,images\train\2012-09-11_15_16_58.jpg,55,32,occupied,278,185,324,230
2,images\train\2012-09-11_15_16_58.jpg,56,33,empty,310,185,355,233
3,images\train\2012-09-11_15_16_58.jpg,52,32,occupied,345,185,388,233
4,images\train\2012-09-11_15_16_58.jpg,54,36,empty,375,184,421,232
5,images\train\2012-09-11_15_16_58.jpg,50,31,occupied,409,187,452,232
6,images\train\2012-09-11_15_16_58.jpg,49,32,occupied,461,184,503,230
7,images\train\2012-09-11_15_16_58.jpg,43,30,empty,500,186,535,229
8,images\train\2012-09-11_15_16_58.jpg,48,28,empty,534,186,567,232
9,images\train\2012-09-11_15_16_58.jpg,47,31,empty,565,184,599,230
10,images\train\2012-09-11_15_16_58.jpg,44,32,empty,598,186,634,230
11,images\train\2012-09-11_15_16_58.jpg,37,32,empty,632,187,664,226
12,images\train\2012-09-11_15_16_58.jpg,39,34,occupied,665,186,699,227
13,images\train\2012-09-11_15_16_58.jpg,32,38,occupied,702,184,734,222
14,images\train\2012-09-11_15_16_58.jpg,43,36,empty,735,182,772,225
15,images\train\2012-09-11_15_16_58.jpg,32,43,empty,775,182,807,225
16,images\train\2012-09-11_15_16_58.jpg,32,40,empty,807,183,842,222
17,images\train\2012-09-11_15_16_58.jpg,34,39,occupied,844,183,879,222
18,images\train\2012-09-11_15_16_58.jpg,35,36,occupied,880,182,915,219
19,images\train\2012-09-11_15_16_58.jpg,38,40,occupied,917,182,956,222
20,images\train\2012-09-11_15_16_58.jpg,32,46,empty,956,177,992,222
21,images\train\2012-09-11_15_16_58.jpg,34,43,occupied,1022,180,993,219
22,images\train\2012-09-11_15_16_58.jpg,38,48,empty,1022,175,1068,220
23,images\train\2012-09-11_15_16_58.jpg,57,34,empty,226,267,280,310
24,images\train\2012-09-11_15_16_58.jpg,57,33,empty,259,265,312,310
25,images\train\2012-09-11_15_16_58.jpg,49,35,occupied,295,266,344,312
26,images\train\2012-09-11_15_16_58.jpg,52,38,empty,335,268,386,310
27,images\train\2012-09-11_15_16_58.jpg,46,36,occupied,377,268,424,312
28,images\train\2012-09-11_15_16_58.jpg,41,39,empty,426,269,471,310
29,images\train\2012-09-11_15_16_58.jpg,44,40,occupied,458,267,503,311
30,images\train\2012-09-11_15_16_58.jpg,47,35,occupied,503,264,546,306
31,images\train\2012-09-11_15_16_58.jpg,42,38,empty,537,266,580,307
32,images\train\2012-09-11_15_16_58.jpg,47,39,occupied,573,263,618,308
33,images\train\2012-09-11_15_16_58.jpg,47,35,empty,614,263,655,307
34,images\train\2012-09-11_15_16_58.jpg,43,38,empty,648,264,688,307
35,images\train\2012-09-11_15_16_58.jpg,49,37,occupied,689,260,727,309
36,images\train\2012-09-11_15_16_58.jpg,43,37,empty,728,264,766,307
37,images\train\2012-09-11_15_16_58.jpg,47,40,occupied,763,260,807,306
38,images\train\2012-09-11_15_16_58.jpg,39,50,empty,809,254,848,306
39,images\train\2012-09-11_15_16_58.jpg,40,53,empty,849,257,889,310
40,images\train\2012-09-11_15_16_58.jpg,42,52,empty,885,254,931,307
41,images\train\2012-09-11_15_16_58.jpg,37,48,occupied,928,257,969,307
42,images\train\2012-09-11_15_16_58.jpg,43,49,occupied,1001,255,971,309
43,images\train\2012-09-11_15_16_58.jpg,37,50,occupied,1011,256,1054,307
44,images\train\2012-09-11_15_16_58.jpg,42,51,empty,1051,258,1098,306
45,images\train\2012-09-11_15_16_58.jpg,59,37,occupied,202,304,249,361
46,images\train\2012-09-11_15_16_58.jpg,70,39,occupied,234,305,291,363
47,images\train\2012-09-11_15_16_58.jpg,67,37,occupied,272,301,323,361
48,images\train\2012-09-11_15_16_58.jpg,67,37,occupied,307,308,359,365
49,images\train\2012-09-11_15_16_58.jpg,65,36,occupied,349,306,396,364
50,images\train\2012-09-11_15_16_58.jpg,61,32,occupied,410,307,449,368
51,images\train\2012-09-11_15_16_58.jpg,67,40,occupied,443,306,497,366
52,images\train\2012-09-11_15_16_58.jpg,63,36,occupied,481,309,529,365
53,images\train\2012-09-11_15_16_58.jpg,62,39,occupied,523,304,571,364
54,images\train\2012-09-11_15_16_58.jpg,39,54,occupied,565,310,604,364
55,images\train\2012-09-11_15_16_58.jpg,53,38,occupied,606,310,648,364
56,images\train\2012-09-11_15_16_58.jpg,42,51,occupied,643,312,685,363
57,images\train\2012-09-11_15_16_58.jpg,51,32,occupied,690,310,724,361
58,images\train\2012-09-11_15_16_58.jpg,48,39,occupied,725,311,766,362
59,images\train\2012-09-11_15_16_58.jpg,37,51,occupied,767,310,804,362
60,images\train\2012-09-11_15_16_58.jpg,50,40,occupied,808,308,848,360
61,images\train\2012-09-11_15_16_58.jpg,37,51,occupied,851,311,891,362
62,images\train\2012-09-11_15_16_58.jpg,41,46,occupied,888,311,934,359
63,images\train\2012-09-11_15_16_58.jpg,39,49,occupied,934,309,976,362
64,images\train\2012-09-11_15_16_58.jpg,42,55,occupied,1015,307,980,360
65,images\train\2012-09-11_15_16_58.jpg,39,50,occupied,1017,311,1062,360
66,images\train\2012-09-11_15_16_58.jpg,45,55,occupied,1059,304,1113,358
68,images\train\2012-09-11_15_16_58.jpg,67,43,occupied,165,417,223,473
69,images\train\2012-09-11_15_16_58.jpg,66,44,occupied,211,417,268,474
70,images\train\2012-09-11_15_16_58.jpg,65,40,empty,254,416,307,472
71,images\train\2012-09-11_15_16_58.jpg,63,41,occupied,295,421,349,475
